prompt,style_preset,aspect_ratio,notes
"Editorial vector illustration of floating browser window fragments orbiting a glowing teal sphere, clean geometric shapes, minimal palette of teal #4FD1C5 and warm sand #F6CBA7, diffuse soft lighting, subtle paper grain texture, modern magazine aesthetic, calm and professional",Art,16:9,Hero - tosa.io landing
"Soft 3D clay render of abstract code blocks under glass dome, warm ambient lighting from below, gentle shadows, muted palette with teal accent, editorial minimalism, tactile and crafted feel",Art,1:1,About section icon
"Minimal vector composition of interconnected UI cards and design tokens flowing in gentle arc, geometric foundation with organic curves, teal and coral accents on slate background, diffuse glow",Art,16:9,Design system visual
"Abstract geometric illustration of typography specimens morphing into variable font sliders, clean line work, warm sand and teal palette, soft gradient background, professional and playful",Art,4:3,TypeTaster reference
"Editorial-style technical blueprint showing automation workflow as connected glowing nodes, thin consistent line weight, teal sparks at connection points, dark background with subtle grain",Art,16:9,Automation concept
"Soft isometric illustration of browser extension as layered puzzle pieces interlocking, rounded corners, minimal shadows, teal #4FD1C5 primary with warm accents, clean editorial style",Art,1:1,Extension tool icon
"Minimal vector scene of floating terminal window with spark trails, geometric shapes, muted tech palette, diffuse rim lighting, calm and focused energy, modern developer aesthetic",Art,16:9,Developer tools hero
"Abstract composition of color gradient waves blending into soft geometric containers, low saturation pastels with single teal accent, smooth transitions, editorial magazine feel",Art,4:3,Color system visual
"3D clay render of minimalist gecko silhouette on branch under soft spotlight, warm earthy tones, gentle depth blur, tactile modern naturalism, clean and professional",Art,1:1,Geckio brand reference
"Editorial vector illustration of scent cloud trails forming abstract orbital patterns, organic curves with geometric foundation, orchid purple #B79BD5 and warm sand palette, diffuse light",Art,4:3,Moodnose aesthetic
"Minimal isometric composition of UI dashboard fragments orbiting central light core, clean geometry, glass surfaces with subtle reflections, teal and slate palette, soft ambient glow",Art,16:9,Product dashboard visual
"Abstract technical illustration of signal beams intersecting at glowing nodes, thin line art, industrial clarity, teal accents on deep space background, subtle grain texture",Art,16:9,Data visualization concept
"Soft 3D render of control dials and glass tubes in minimal industrial style, warm lighting, geometric precision, muted palette with teal highlights, tactile craftsmanship feel",Art,1:1,Automation controls icon
"Editorial vector of browser window outline with glowing element highlights, clean stroke weight, teal accent light, dark background, modern developer tool aesthetic, calm focus",Art,4:3,Web tool interface
"Minimal composition of floating code fragments arranged in constellation pattern, connected by thin glowing lines, teal sparks, deep space background with soft radial gradient",Art,16:9,Code visualization
"Abstract geometric illustration of layered panels creating depth, glass morphism effect, soft shadows, teal and warm sand palette, editorial minimalism, professional and tactile",Art,4:3,Layered UI concept
"Soft 3D clay illustration of abstract tool symbols orbiting center point, rounded geometric shapes, warm diffuse lighting, muted earth tones with teal accent, handcrafted digital feel",Art,1:1,Tool ecosystem icon
"Editorial vector scene of wireframe blueprint transforming into finished UI, thin consistent lines, teal highlights, subtle gradient background, professional design process visualization",Art,16:9,Design process flow
"Minimal isometric view of glowing spark trails connecting abstract nodes, industrial clarity, teal accent beams, deep background with subtle texture, calm tech aesthetic",Art,4:3,Network visualization
"Abstract composition of typography curves flowing into UI elements, geometric with organic imperfection, warm sand and teal palette, diffuse soft light, editorial magazine style",Art,16:9,Type and interface blend
"Soft 3D render of minimalist perfume bottle outline dissolving into color waves, orchid purple and warm tones, gentle ambient light, organic modern aesthetic, calm and refined",Art,1:1,Scent visualization
"Editorial vector of data lines forming abstract landscape, clean geometry, industrial precision, teal and coral accents, dark slate background, professional tech minimalism",Art,16:9,Data landscape
"Minimal composition of browser tabs as floating geometric cards, soft shadows, glass surfaces, teal highlights on deep background, clean modern web aesthetic, tactile depth",Art,4:3,Browser interface concept
"Abstract geometric illustration of light panels arranged in grid dissolving at edges, diffuse glow, teal and warm sand palette, subtle grain, editorial industrial clarity",Art,1:1,Panel system visual
"Soft 3D clay render of abstract productivity tools arranged in orbit, rounded shapes, warm rim lighting, muted palette with teal core, handcrafted minimalism, professional feel",Art,16:9,Productivity suite hero
"Editorial vector of code terminal with soft neon glow, minimal line weight, teal accent highlights, deep space background, modern developer aesthetic, calm focus energy",Art,4:3,Terminal interface
"Minimal isometric scene of UI components floating in layered depth, glass morphism, soft shadows, teal and warm accents, clean geometric precision, editorial tech style",Art,16:9,UI components showcase
"Abstract composition of circular nodes connected by glowing paths, organic curves, geometric foundation, teal sparks at intersections, dark background with radial gradient",Art,1:1,Connection network icon
"Soft 3D render of abstract automation cables and spark points, industrial materials with warm light, muted tech palette with teal energy, tactile craftsmanship, professional",Art,4:3,Automation infrastructure
"Editorial vector illustration of variable font axis controls as geometric sliders, clean lines, warm sand and teal palette, soft gradient background, playful precision aesthetic",Art,16:9,Typography controls
"Minimal composition of floating design tokens as glowing geometric shapes, soft depth blur, teal and coral accents, dark background, modern design system visualization",Art,1:1,Design tokens icon
"Abstract geometric illustration of terrarium scene with minimal gecko shape, natural curves, moss green #A8C6A1 and warm earth tones, diffuse light, modern naturalism",Art,4:3,Nature tech blend
"Soft 3D clay render of browser extension puzzle pieces fitting together, rounded geometry, warm ambient glow, teal primary with sand accents, tactile editorial minimalism",Art,1:1,Extension integration icon
"Editorial vector of dashboard gauges and light indicators in minimal industrial style, thin consistent lines, teal highlights, deep background, calm professional tech aesthetic",Art,16:9,Dashboard monitoring
"Minimal isometric composition of code blocks stacking with soft glow between layers, geometric precision, teal and warm palette, glass surfaces, modern developer tool visual",Art,4:3,Code architecture
"Abstract illustration of color swatches dissolving into gradient field, low saturation with teal accent, diffuse transitions, editorial magazine aesthetic, calm and refined",Art,16:9,Color palette visual
"Soft 3D render of abstract signal beams intersecting at central hub, industrial materials, warm rim light, teal energy core, geometric precision, professional tech minimalism",Art,1:1,Signal hub icon
"Editorial vector scene of UI cards arranged in flowing composition, clean geometry, glass morphism effect, teal and sand palette, soft shadows, modern interface design aesthetic",Art,4:3,Card layout system
"Minimal composition of glowing automation nodes connected by organic curves, geometric shapes, teal sparks, deep space background with subtle grain, calm industrial clarity",Art,16:9,Workflow automation
"Abstract geometric illustration of light rays passing through glass prisms creating soft spectrum, muted colors with teal accent, diffuse glow, editorial optical aesthetic",Art,1:1,Light refraction visual
"Soft 3D clay render of minimal tool icons orbiting in gentle arc, rounded shapes, warm diffuse lighting, earth tones with teal highlights, handcrafted digital minimalism",Art,16:9,Tool collection hero
