prompt_id,prompt_text,aspect_ratio,style
tosaio_blog_nextjs_vs_astro,"Minimal editorial vector illustration using warm pastel gradients (yellow–green–blue). Two long, clean digital paths diverge from a single starting point, one smooth and glowing cool-blue, one dotted and warm-violet. A tiny signpost with abstract arrows (no text). Poetic metaphor for choosing a framework. Clean lines, subtle shadows, whitespace-rich composition.",16:9,Editorial-Vector
tosaio_blog_tailwind_at_scale,"Editorial vector illustration of neatly stacked fabric swatches gently fluttering in a breeze. Each swatch has micro-patterns resembling spacing units, grids, and typography lines. A subtle wind-curve hints at Tailwind without logos. Warm pastel gradient background. Clever wordplay: Tailwind → tailoring. Premium, calm, minimal.",16:9,Editorial-Vector
tosaio_blog_playwright_automation,"Conceptual illustration of a miniature theater stage where simple browser-window silhouettes hang from thin stage wires. One geometric spotlight illuminates the scene. Symbolic of automated creative processes. Warm, minimalist, tech-magazine tone; subtle humor without characters.",16:9,Editorial-Vector
tosaio_blog_api_first_architecture,"Minimal metaphor: two elegant abstract fountains pour streams of tiny geometric particles into a shared central basin. One fountain cool-blue, the other warm-beige. Symbolizes multiple API approaches flowing into unified architecture. Clean, calm, editorial style on a warm gradient.",16:9,Editorial-Vector
tosaio_blog_react_flow,"Zen-garden metaphor: branching stone paths form a schematic-like node network when viewed from above. Small glowing dots mark connection points. Minimal raked-sand texture, serene composition, warm gradients. Clever visual pun for visual flow builders.",16:9,Editorial-Vector
tosaio_blog_engineering_emotion,"A tidy wooden toolbox opened to reveal neatly arranged color chips, spacing rulers, and typographic blocks arranged like artisan tools. Slight glow hints at emotional impact engineered through structure. Warm sand-toned background, minimal shading, premium editorial style.",16:9,Editorial-Vector
tosaio_blog_claudius_ai_augmented,"Stylized glass-like laurel wreath encircling a small glowing mechanical gear orb. Elegant metaphor for AI-augmented developer tools and orchestration. Warm neutral tones, subtle gradients, clean geometry. No characters or literal UI.",16:9,Editorial-Vector
tosaio_blog_self_hosting,"Minimal editorial scene of a small modern cabin floating on a soft gradient field, connected to its own tiny glowing server stack and miniature wind turbine. Metaphor for fully self-sufficient, self-hosted development platforms. Calm, warm, handcrafted yet technical.",16:9,Editorial-Vector
tosaio_blog_mysql_import,"Abstract geometric dolphin-shaped particle cloud moving through a narrow glowing tunnel of light. Symbolic of a large MySQL import process. Elegant, slightly humorous visual wordplay without being cartoonish. Clean vector style, warm background.",16:9,Editorial-Vector
tosaio_blog_learning_hub_astro,"Constellation arranged in the silhouette of an open book, with small orbiting star-nodes forming topic clusters. A faint shooting-star arc hints at Astro without logos. Twilight gradient, poetic, minimal editorial composition.",16:9,Editorial-Vector
tosaio_global_style,"Minimal editorial vector style with warm pastel gradients, soft shadows, clean geometric shapes, and conceptual metaphors. Subtle wordplay, intelligent tone, whitespace-focused, premium tech-magazine aesthetic. No mascots, no characters, no literal UI or logos.",N/A,Style-Guide